year,month,county,property_sum,violent_sum,unemp. rate,property_sum_lag9,violent_sum_lag9,unemp. rate_lag9
2010,january,alameda county,147,14,11.4%,,,
2010,january,alameda county,112,5,11.4%,,,
2010,january,alameda county,217,63,11.4%,,,
2010,january,alameda county,1,0,11.4%,,,
2010,january,alameda county,13,0,11.4%,,,
2010,january,alameda county,41,4,11.4%,,,
2010,january,alameda county,606,40,11.4%,,,
2010,january,alameda county,16,1,11.4%,,,
2010,january,alameda county,8,1,11.4%,,,
2010,january,alameda county,84,6,11.4%,147,14,11.4%
2010,january,alameda county,91,10,11.4%,112,5,11.4%
2010,january,alameda county,306,36,11.4%,217,63,11.4%
2010,january,alameda county,326,75,11.4%,1,0,11.4%
2010,january,alameda county,175,30,11.4%,13,0,11.4%
2010,january,alameda county,133,19,11.4%,41,4,11.4%
2010,january,alameda county,1671,452,11.4%,606,40,11.4%
2010,january,alameda county,27,1,11.4%,16,1,11.4%
2010,january,alameda county,89,4,11.4%,8,1,11.4%
2010,january,alameda county,309,33,11.4%,84,6,11.4%
2010,january,alameda county,73,1,11.4%,91,10,11.4%
2010,january,alameda county,158,27,11.4%,306,36,11.4%
2010,january,alameda county,21,0,11.4%,326,75,11.4%
2010,february,alameda county,154,17,11.2%,175,30,11.4%
2010,february,alameda county,66,7,11.2%,133,19,11.4%
2010,february,alameda county,191,61,11.2%,1671,452,11.4%
2010,february,alameda county,1,0,11.2%,27,1,11.4%
2010,february,alameda county,7,0,11.2%,89,4,11.4%
2010,february,alameda county,55,0,11.2%,309,33,11.4%
2010,february,alameda county,507,35,11.2%,73,1,11.4%
2010,february,alameda county,19,0,11.2%,158,27,11.4%
2010,february,alameda county,11,1,11.2%,21,0,11.4%
2010,february,alameda county,69,7,11.2%,154,17,11.2%
2010,february,alameda county,81,11,11.2%,66,7,11.2%
2010,february,alameda county,338,48,11.2%,191,61,11.2%
2010,february,alameda county,298,42,11.2%,1,0,11.2%
2010,february,alameda county,148,24,11.2%,7,0,11.2%
2010,february,alameda county,111,13,11.2%,55,0,11.2%
2010,february,alameda county,1296,433,11.2%,507,35,11.2%
2010,february,alameda county,14,0,11.2%,19,0,11.2%
2010,february,alameda county,86,8,11.2%,11,1,11.2%
2010,february,alameda county,259,20,11.2%,69,7,11.2%
2010,february,alameda county,89,1,11.2%,81,11,11.2%
2010,february,alameda county,132,26,11.2%,338,48,11.2%
2010,february,alameda county,9,0,11.2%,298,42,11.2%
2010,march,alameda county,135,6,11.2%,148,24,11.2%
2010,march,alameda county,108,16,11.2%,111,13,11.2%
2010,march,alameda county,203,74,11.2%,1296,433,11.2%
2010,march,alameda county,0,0,11.2%,14,0,11.2%
2010,march,alameda county,16,0,11.2%,86,8,11.2%
2010,march,alameda county,60,3,11.2%,259,20,11.2%
2010,march,alameda county,535,37,11.2%,89,1,11.2%
2010,march,alameda county,10,0,11.2%,132,26,11.2%
2010,march,alameda county,18,1,11.2%,9,0,11.2%
2010,march,alameda county,55,3,11.2%,135,6,11.2%
2010,march,alameda county,72,13,11.2%,108,16,11.2%
2010,march,alameda county,377,47,11.2%,203,74,11.2%
2010,march,alameda county,318,67,11.2%,0,0,11.2%
2010,march,alameda county,180,36,11.2%,16,0,11.2%
2010,march,alameda county,132,20,11.2%,60,3,11.2%
2010,march,alameda county,1412,519,11.2%,535,37,11.2%
2010,march,alameda county,15,0,11.2%,10,0,11.2%
2010,march,alameda county,123,4,11.2%,18,1,11.2%
2010,march,alameda county,268,25,11.2%,55,3,11.2%
2010,march,alameda county,81,2,11.2%,72,13,11.2%
2010,march,alameda county,153,40,11.2%,377,47,11.2%
2010,march,alameda county,14,2,11.2%,318,67,11.2%
2010,april,alameda county,136,17,11.0%,180,36,11.2%
2010,april,alameda county,117,9,11.0%,132,20,11.2%
2010,april,alameda county,195,72,11.0%,1412,519,11.2%
2010,april,alameda county,4,0,11.0%,15,0,11.2%
2010,april,alameda county,13,0,11.0%,123,4,11.2%
2010,april,alameda county,66,4,11.0%,268,25,11.2%
2010,april,alameda county,449,50,11.0%,81,2,11.2%
2010,april,alameda county,11,0,11.0%,153,40,11.2%
2010,april,alameda county,12,0,11.0%,14,2,11.2%
2010,april,alameda county,73,3,11.0%,136,17,11.0%
2010,april,alameda county,73,17,11.0%,117,9,11.0%
2010,april,alameda county,295,47,11.0%,195,72,11.0%
2010,april,alameda county,344,46,11.0%,4,0,11.0%
2010,april,alameda county,156,26,11.0%,13,0,11.0%
2010,april,alameda county,133,19,11.0%,66,4,11.0%
2010,april,alameda county,1356,421,11.0%,449,50,11.0%
2010,april,alameda county,20,1,11.0%,11,0,11.0%
2010,april,alameda county,107,3,11.0%,12,0,11.0%
2010,april,alameda county,239,26,11.0%,73,3,11.0%
2010,april,alameda county,82,7,11.0%,73,17,11.0%
2010,april,alameda county,187,29,11.0%,295,47,11.0%
2010,april,alameda county,24,1,11.0%,344,46,11.0%
2010,may,alameda county,153,10,10.6%,156,26,11.0%
2010,may,alameda county,97,8,10.6%,133,19,11.0%
2010,may,alameda county,212,61,10.6%,1356,421,11.0%
2010,may,alameda county,3,0,10.6%,20,1,11.0%
2010,may,alameda county,10,0,10.6%,107,3,11.0%
2010,may,alameda county,36,1,10.6%,239,26,11.0%
2010,may,alameda county,430,35,10.6%,82,7,11.0%
2010,may,alameda county,27,0,10.6%,187,29,11.0%
2010,may,alameda county,4,1,10.6%,24,1,11.0%
2010,may,alameda county,72,13,10.6%,153,10,10.6%
2010,may,alameda county,86,13,10.6%,97,8,10.6%
2010,may,alameda county,403,50,10.6%,212,61,10.6%
2010,may,alameda county,325,49,10.6%,3,0,10.6%
2010,may,alameda county,174,43,10.6%,10,0,10.6%
2010,may,alameda county,116,14,10.6%,36,1,10.6%
2010,may,alameda county,1406,474,10.6%,430,35,10.6%
2010,may,alameda county,20,1,10.6%,27,0,10.6%
2010,may,alameda county,117,6,10.6%,4,1,10.6%
2010,may,alameda county,223,37,10.6%,72,13,10.6%
2010,may,alameda county,72,6,10.6%,86,13,10.6%
2010,may,alameda county,173,27,10.6%,403,50,10.6%
2010,may,alameda county,8,0,10.6%,325,49,10.6%
2010,june,alameda county,169,12,11.0%,174,43,10.6%
2010,june,alameda county,85,7,11.0%,116,14,10.6%
2010,june,alameda county,182,67,11.0%,1406,474,10.6%
2010,june,alameda county,4,0,11.0%,20,1,10.6%
2010,june,alameda county,12,0,11.0%,117,6,10.6%
2010,june,alameda county,55,4,11.0%,223,37,10.6%
2010,june,alameda county,449,45,11.0%,72,6,10.6%
2010,june,alameda county,23,0,11.0%,173,27,10.6%
2010,june,alameda county,12,0,11.0%,8,0,10.6%
2010,june,alameda county,40,3,11.0%,169,12,11.0%
2010,june,alameda county,69,11,11.0%,85,7,11.0%
2010,june,alameda county,389,38,11.0%,182,67,11.0%
2010,june,alameda county,307,60,11.0%,4,0,11.0%
2010,june,alameda county,166,29,11.0%,12,0,11.0%
2010,june,alameda county,103,16,11.0%,55,4,11.0%
2010,june,alameda county,1327,443,11.0%,449,45,11.0%
2010,june,alameda county,11,0,11.0%,23,0,11.0%
2010,june,alameda county,101,6,11.0%,12,0,11.0%
2010,june,alameda county,230,26,11.0%,40,3,11.0%
2010,june,alameda county,36,1,11.0%,69,11,11.0%
2010,june,alameda county,140,33,11.0%,389,38,11.0%
2010,june,alameda county,11,0,11.0%,307,60,11.0%
2010,july,alameda county,228,17,11.4%,166,29,11.0%
2010,july,alameda county,101,8,11.4%,103,16,11.0%
2010,july,alameda county,166,48,11.4%,1327,443,11.0%
2010,july,alameda county,1,0,11.4%,11,0,11.0%
2010,july,alameda county,16,3,11.4%,101,6,11.0%
2010,july,alameda county,43,2,11.4%,230,26,11.0%
2010,july,alameda county,547,40,11.4%,36,1,11.0%
2010,july,alameda county,23,1,11.4%,140,33,11.0%
2010,july,alameda county,5,1,11.4%,11,0,11.0%
2010,july,alameda county,69,9,11.4%,228,17,11.4%
2010,july,alameda county,71,6,11.4%,101,8,11.4%
2010,july,alameda county,397,38,11.4%,166,48,11.4%
2010,july,alameda county,320,44,11.4%,1,0,11.4%
2010,july,alameda county,120,18,11.4%,16,3,11.4%
2010,july,alameda county,142,16,11.4%,43,2,11.4%
2010,july,alameda county,1443,585,11.4%,547,40,11.4%
2010,july,alameda county,9,0,11.4%,23,1,11.4%
2010,july,alameda county,111,3,11.4%,5,1,11.4%
2010,july,alameda county,256,28,11.4%,69,9,11.4%
2010,july,alameda county,64,1,11.4%,71,6,11.4%
2010,july,alameda county,144,21,11.4%,397,38,11.4%
2010,july,alameda county,4,1,11.4%,320,44,11.4%
2010,august,alameda county,185,11,11.3%,120,18,11.4%
2010,august,alameda county,121,17,11.3%,142,16,11.4%
2010,august,alameda county,189,67,11.3%,1443,585,11.4%
2010,august,alameda county,4,0,11.3%,9,0,11.4%
2010,august,alameda county,23,0,11.3%,111,3,11.4%
2010,august,alameda county,52,4,11.3%,256,28,11.4%
2010,august,alameda county,559,54,11.3%,64,1,11.4%
2010,august,alameda county,18,0,11.3%,144,21,11.4%
2010,august,alameda county,8,1,11.3%,4,1,11.4%
2010,august,alameda county,70,6,11.3%,185,11,11.3%
2010,august,alameda county,91,11,11.3%,121,17,11.3%
2010,august,alameda county,420,39,11.3%,189,67,11.3%
2010,august,alameda county,289,49,11.3%,4,0,11.3%
2010,august,alameda county,144,38,11.3%,23,0,11.3%
2010,august,alameda county,105,12,11.3%,52,4,11.3%
2010,august,alameda county,1495,666,11.3%,559,54,11.3%
2010,august,alameda county,16,0,11.3%,18,0,11.3%
2010,august,alameda county,100,14,11.3%,8,1,11.3%
2010,august,alameda county,281,33,11.3%,70,6,11.3%
2010,august,alameda county,70,5,11.3%,91,11,11.3%
2010,august,alameda county,133,19,11.3%,420,39,11.3%
2010,august,alameda county,12,0,11.3%,289,49,11.3%
2010,september,alameda county,178,16,10.8%,144,38,11.3%
2010,september,alameda county,124,9,10.8%,105,12,11.3%
2010,september,alameda county,165,51,10.8%,1495,666,11.3%
2010,september,alameda county,2,0,10.8%,16,0,11.3%
2010,september,alameda county,21,0,10.8%,100,14,11.3%
2010,september,alameda county,55,4,10.8%,281,33,11.3%
2010,september,alameda county,451,52,10.8%,70,5,11.3%
2010,september,alameda county,45,1,10.8%,133,19,11.3%
2010,september,alameda county,6,1,10.8%,12,0,11.3%
2010,september,alameda county,46,7,10.8%,178,16,10.8%
2010,september,alameda county,69,19,10.8%,124,9,10.8%
2010,september,alameda county,390,42,10.8%,165,51,10.8%
2010,september,alameda county,300,53,10.8%,2,0,10.8%
2010,september,alameda county,126,16,10.8%,21,0,10.8%
2010,september,alameda county,94,12,10.8%,55,4,10.8%
2010,september,alameda county,1430,626,10.8%,451,52,10.8%
2010,september,alameda county,26,0,10.8%,45,1,10.8%
2010,september,alameda county,104,11,10.8%,6,1,10.8%
2010,september,alameda county,243,33,10.8%,46,7,10.8%
2010,september,alameda county,83,4,10.8%,69,19,10.8%
2010,september,alameda county,151,25,10.8%,390,42,10.8%
2010,september,alameda county,4,0,10.8%,300,53,10.8%
2010,october,alameda county,200,15,10.7%,126,16,10.8%
2010,october,alameda county,104,9,10.7%,94,12,10.8%
2010,october,alameda county,172,43,10.7%,1430,626,10.8%
2010,october,alameda county,1,0,10.7%,26,0,10.8%
2010,october,alameda county,5,0,10.7%,104,11,10.8%
2010,october,alameda county,34,3,10.7%,243,33,10.8%
2010,october,alameda county,487,46,10.7%,83,4,10.8%
2010,october,alameda county,35,0,10.7%,151,25,10.8%
2010,october,alameda county,11,1,10.7%,4,0,10.8%
2010,october,alameda county,47,6,10.7%,200,15,10.7%
2010,october,alameda county,97,7,10.7%,104,9,10.7%
2010,october,alameda county,422,44,10.7%,172,43,10.7%
2010,october,alameda county,308,48,10.7%,1,0,10.7%
2010,october,alameda county,133,20,10.7%,5,0,10.7%
2010,october,alameda county,131,19,10.7%,34,3,10.7%
2010,october,alameda county,1450,572,10.7%,487,46,10.7%
2010,october,alameda county,18,0,10.7%,35,0,10.7%
2010,october,alameda county,110,6,10.7%,11,1,10.7%
2010,october,alameda county,286,34,10.7%,47,6,10.7%
2010,october,alameda county,90,2,10.7%,97,7,10.7%
2010,october,alameda county,142,23,10.7%,422,44,10.7%
2010,october,alameda county,6,0,10.7%,308,48,10.7%
2010,november,alameda county,150,17,10.8%,133,20,10.7%
2010,november,alameda county,109,3,10.8%,131,19,10.7%
2010,november,alameda county,163,45,10.8%,1450,572,10.7%
2010,november,alameda county,0,0,10.8%,18,0,10.7%
2010,november,alameda county,11,3,10.8%,110,6,10.7%
2010,november,alameda county,38,5,10.8%,286,34,10.7%
2010,november,alameda county,477,47,10.8%,90,2,10.7%
2010,november,alameda county,15,0,10.8%,142,23,10.7%
2010,november,alameda county,10,0,10.8%,6,0,10.7%
2010,november,alameda county,51,4,10.8%,150,17,10.8%
2010,november,alameda county,85,5,10.8%,109,3,10.8%
2010,november,alameda county,329,27,10.8%,163,45,10.8%
2010,november,alameda county,293,55,10.8%,0,0,10.8%
2010,november,alameda county,138,23,10.8%,11,3,10.8%
2010,november,alameda county,109,11,10.8%,38,5,10.8%
2010,november,alameda county,1446,555,10.8%,477,47,10.8%
2010,november,alameda county,17,0,10.8%,15,0,10.8%
2010,november,alameda county,138,4,10.8%,10,0,10.8%
2010,november,alameda county,276,22,10.8%,51,4,10.8%
2010,november,alameda county,91,2,10.8%,85,5,10.8%
2010,november,alameda county,147,28,10.8%,329,27,10.8%
2010,november,alameda county,4,0,10.8%,293,55,10.8%
2010,december,alameda county,129,21,10.4%,138,23,10.8%
2010,december,alameda county,79,5,10.4%,109,11,10.8%
2010,december,alameda county,157,46,10.4%,1446,555,10.8%
2010,december,alameda county,1,0,10.4%,17,0,10.8%
2010,december,alameda county,4,0,10.4%,138,4,10.8%
2010,december,alameda county,47,3,10.4%,276,22,10.8%
2010,december,alameda county,446,52,10.4%,91,2,10.8%
2010,december,alameda county,10,2,10.4%,147,28,10.8%
2010,december,alameda county,7,0,10.4%,4,0,10.8%
2010,december,alameda county,44,2,10.4%,129,21,10.4%
2010,december,alameda county,96,5,10.4%,79,5,10.4%
2010,december,alameda county,348,32,10.4%,157,46,10.4%
2010,december,alameda county,325,64,10.4%,1,0,10.4%
2010,december,alameda county,110,20,10.4%,4,0,10.4%
2010,december,alameda county,119,16,10.4%,47,3,10.4%
2010,december,alameda county,1593,521,10.4%,446,52,10.4%
2010,december,alameda county,21,1,10.4%,10,2,10.4%
2010,december,alameda county,108,9,10.4%,7,0,10.4%
2010,december,alameda county,267,30,10.4%,44,2,10.4%
2010,december,alameda county,61,1,10.4%,96,5,10.4%
2010,december,alameda county,150,26,10.4%,348,32,10.4%
2010,december,alameda county,7,1,10.4%,325,64,10.4%
2011,january,alameda county,159,15,10.9%,110,20,10.4%
2011,january,alameda county,91,11,10.9%,119,16,10.4%
2011,january,alameda county,172,71,10.9%,1593,521,10.4%
2011,january,alameda county,0,0,10.9%,21,1,10.4%
2011,january,alameda county,4,0,10.9%,108,9,10.4%
2011,january,alameda county,59,4,10.9%,267,30,10.4%
2011,january,alameda county,458,40,10.9%,61,1,10.4%
2011,january,alameda county,2,0,10.9%,150,26,10.4%
2011,january,alameda county,18,0,10.9%,7,1,10.4%
2011,january,alameda county,48,11,10.9%,159,15,10.9%
2011,january,alameda county,78,8,10.9%,91,11,10.9%
2011,january,alameda county,320,51,10.9%,172,71,10.9%
2011,january,alameda county,296,51,10.9%,0,0,10.9%
2011,january,alameda county,126,37,10.9%,4,0,10.9%
2011,january,alameda county,112,18,10.9%,59,4,10.9%
2011,january,alameda county,1795,547,10.9%,458,40,10.9%
2011,january,alameda county,40,2,10.9%,2,0,10.9%
2011,january,alameda county,113,2,10.9%,18,0,10.9%
2011,january,alameda county,304,33,10.9%,48,11,10.9%
2011,january,alameda county,64,2,10.9%,78,8,10.9%
2011,january,alameda county,122,27,10.9%,320,51,10.9%
2011,january,alameda county,7,1,10.9%,296,51,10.9%
2011,february,alameda county,143,19,10.5%,126,37,10.9%
2011,february,alameda county,95,16,10.5%,112,18,10.9%
2011,february,alameda county,176,60,10.5%,1795,547,10.9%
2011,february,alameda county,2,0,10.5%,40,2,10.9%
2011,february,alameda county,4,0,10.5%,113,2,10.9%
2011,february,alameda county,26,2,10.5%,304,33,10.9%
2011,february,alameda county,372,36,10.5%,64,2,10.9%
2011,february,alameda county,11,0,10.5%,122,27,10.9%
2011,february,alameda county,14,0,10.5%,7,1,10.9%
2011,february,alameda county,50,4,10.5%,143,19,10.5%
2011,february,alameda county,83,8,10.5%,95,16,10.5%
2011,february,alameda county,281,19,10.5%,176,60,10.5%
2011,february,alameda county,282,50,10.5%,2,0,10.5%
2011,february,alameda county,123,26,10.5%,4,0,10.5%
2011,february,alameda county,106,12,10.5%,26,2,10.5%
2011,february,alameda county,1375,423,10.5%,372,36,10.5%
2011,february,alameda county,28,0,10.5%,11,0,10.5%
2011,february,alameda county,97,3,10.5%,14,0,10.5%
2011,february,alameda county,252,25,10.5%,50,4,10.5%
2011,february,alameda county,78,3,10.5%,83,8,10.5%
2011,february,alameda county,127,23,10.5%,281,19,10.5%
2011,february,alameda county,3,1,10.5%,282,50,10.5%
2011,march,alameda county,175,8,10.4%,123,26,10.5%
2011,march,alameda county,78,18,10.4%,106,12,10.5%
2011,march,alameda county,181,80,10.4%,1375,423,10.5%
2011,march,alameda county,0,0,10.4%,28,0,10.5%
2011,march,alameda county,8,1,10.4%,97,3,10.5%
2011,march,alameda county,48,2,10.4%,252,25,10.5%
2011,march,alameda county,436,41,10.4%,78,3,10.5%
2011,march,alameda county,16,0,10.4%,127,23,10.5%
2011,march,alameda county,8,0,10.4%,3,1,10.5%
2011,march,alameda county,57,5,10.4%,175,8,10.4%
2011,march,alameda county,120,20,10.4%,78,18,10.4%
2011,march,alameda county,353,33,10.4%,181,80,10.4%
2011,march,alameda county,367,52,10.4%,0,0,10.4%
2011,march,alameda county,174,33,10.4%,8,1,10.4%
2011,march,alameda county,141,9,10.4%,48,2,10.4%
2011,march,alameda county,1633,446,10.4%,436,41,10.4%
2011,march,alameda county,19,1,10.4%,16,0,10.4%
2011,march,alameda county,92,4,10.4%,8,0,10.4%
2011,march,alameda county,278,28,10.4%,57,5,10.4%
2011,march,alameda county,84,2,10.4%,120,20,10.4%
2011,march,alameda county,146,23,10.4%,353,33,10.4%
2011,march,alameda county,3,2,10.4%,367,52,10.4%
2011,april,alameda county,143,17,10.0%,174,33,10.4%
2011,april,alameda county,98,22,10.0%,141,9,10.4%
2011,april,alameda county,165,58,10.0%,1633,446,10.4%
2011,april,alameda county,0,0,10.0%,19,1,10.4%
2011,april,alameda county,5,0,10.0%,92,4,10.4%
2011,april,alameda county,37,2,10.0%,278,28,10.4%
2011,april,alameda county,389,44,10.0%,84,2,10.4%
2011,april,alameda county,17,0,10.0%,146,23,10.4%
2011,april,alameda county,9,0,10.0%,3,2,10.4%
2011,april,alameda county,53,10,10.0%,143,17,10.0%
2011,april,alameda county,106,18,10.0%,98,22,10.0%
2011,april,alameda county,323,27,10.0%,165,58,10.0%
2011,april,alameda county,287,43,10.0%,0,0,10.0%
2011,april,alameda county,160,16,10.0%,5,0,10.0%
2011,april,alameda county,119,8,10.0%,37,2,10.0%
2011,april,alameda county,1676,504,10.0%,389,44,10.0%
2011,april,alameda county,26,0,10.0%,17,0,10.0%
2011,april,alameda county,97,2,10.0%,9,0,10.0%
2011,april,alameda county,248,22,10.0%,53,10,10.0%
2011,april,alameda county,110,3,10.0%,106,18,10.0%
2011,april,alameda county,130,23,10.0%,323,27,10.0%
2011,april,alameda county,5,1,10.0%,287,43,10.0%
2011,may,alameda county,173,30,9.8%,160,16,10.0%
2011,may,alameda county,136,15,9.8%,119,8,10.0%
2011,may,alameda county,195,56,9.8%,1676,504,10.0%
2011,may,alameda county,0,0,9.8%,26,0,10.0%
2011,may,alameda county,3,1,9.8%,97,2,10.0%
2011,may,alameda county,28,4,9.8%,248,22,10.0%
2011,may,alameda county,388,33,9.8%,110,3,10.0%
2011,may,alameda county,16,1,9.8%,130,23,10.0%
2011,may,alameda county,14,0,9.8%,5,1,10.0%
2011,may,alameda county,45,5,9.8%,173,30,9.8%
2011,may,alameda county,93,22,9.8%,136,15,9.8%
2011,may,alameda county,331,37,9.8%,195,56,9.8%
2011,may,alameda county,373,36,9.8%,0,0,9.8%
2011,may,alameda county,180,21,9.8%,3,1,9.8%
2011,may,alameda county,111,13,9.8%,28,4,9.8%
2011,may,alameda county,1725,571,9.8%,388,33,9.8%
2011,may,alameda county,24,0,9.8%,16,1,9.8%
2011,may,alameda county,116,5,9.8%,14,0,9.8%
2011,may,alameda county,293,39,9.8%,45,5,9.8%
2011,may,alameda county,45,6,9.8%,93,22,9.8%
2011,may,alameda county,134,41,9.8%,331,37,9.8%
2011,may,alameda county,14,0,9.8%,373,36,9.8%
2011,june,alameda county,167,15,10.5%,180,21,9.8%
2011,june,alameda county,139,17,10.5%,111,13,9.8%
2011,june,alameda county,182,54,10.5%,1725,571,9.8%
2011,june,alameda county,3,0,10.5%,24,0,9.8%
2011,june,alameda county,7,0,10.5%,116,5,9.8%
2011,june,alameda county,44,1,10.5%,293,39,9.8%
2011,june,alameda county,442,33,10.5%,45,6,9.8%
2011,june,alameda county,12,0,10.5%,134,41,9.8%
2011,june,alameda county,11,0,10.5%,14,0,9.8%
2011,june,alameda county,56,3,10.5%,167,15,10.5%
2011,june,alameda county,98,17,10.5%,139,17,10.5%
2011,june,alameda county,334,31,10.5%,182,54,10.5%
2011,june,alameda county,308,36,10.5%,3,0,10.5%
2011,june,alameda county,119,13,10.5%,7,0,10.5%
2011,june,alameda county,96,13,10.5%,44,1,10.5%
2011,june,alameda county,1725,564,10.5%,442,33,10.5%
2011,june,alameda county,21,0,10.5%,12,0,10.5%
2011,june,alameda county,105,7,10.5%,11,0,10.5%
2011,june,alameda county,250,23,10.5%,56,3,10.5%
2011,june,alameda county,42,0,10.5%,98,17,10.5%
2011,june,alameda county,217,23,10.5%,334,31,10.5%
2011,june,alameda county,8,0,10.5%,308,36,10.5%
2011,july,alameda county,153,26,10.5%,119,13,10.5%
2011,july,alameda county,114,21,10.5%,96,13,10.5%
2011,july,alameda county,190,75,10.5%,1725,564,10.5%
2011,july,alameda county,0,0,10.5%,21,0,10.5%
2011,july,alameda county,7,1,10.5%,105,7,10.5%
2011,july,alameda county,33,1,10.5%,250,23,10.5%
2011,july,alameda county,471,53,10.5%,42,0,10.5%
2011,july,alameda county,9,0,10.5%,217,23,10.5%
2011,july,alameda county,5,0,10.5%,8,0,10.5%
2011,july,alameda county,51,9,10.5%,153,26,10.5%
2011,july,alameda county,141,23,10.5%,114,21,10.5%
2011,july,alameda county,307,28,10.5%,190,75,10.5%
2011,july,alameda county,311,57,10.5%,0,0,10.5%
2011,july,alameda county,127,25,10.5%,7,1,10.5%
2011,july,alameda county,97,32,10.5%,33,1,10.5%
2011,july,alameda county,1773,710,10.5%,471,53,10.5%
2011,july,alameda county,25,0,10.5%,9,0,10.5%
2011,july,alameda county,106,2,10.5%,5,0,10.5%
2011,july,alameda county,276,37,10.5%,51,9,10.5%
2011,july,alameda county,47,3,10.5%,141,23,10.5%
2011,july,alameda county,142,38,10.5%,307,28,10.5%
2011,july,alameda county,11,1,10.5%,311,57,10.5%
2011,august,alameda county,191,19,10.3%,127,25,10.5%
2011,august,alameda county,127,17,10.3%,97,32,10.5%
2011,august,alameda county,206,69,10.3%,1773,710,10.5%
2011,august,alameda county,4,0,10.3%,25,0,10.5%
2011,august,alameda county,7,0,10.3%,106,2,10.5%
2011,august,alameda county,49,6,10.3%,276,37,10.5%
2011,august,alameda county,421,52,10.3%,47,3,10.5%
2011,august,alameda county,8,0,10.3%,142,38,10.5%
2011,august,alameda county,13,0,10.3%,11,1,10.5%
2011,august,alameda county,44,10,10.3%,191,19,10.3%
2011,august,alameda county,118,25,10.3%,127,17,10.3%
2011,august,alameda county,359,40,10.3%,206,69,10.3%
2011,august,alameda county,312,55,10.3%,4,0,10.3%
2011,august,alameda county,148,22,10.3%,7,0,10.3%
2011,august,alameda county,103,19,10.3%,49,6,10.3%
2011,august,alameda county,1908,663,10.3%,421,52,10.3%
2011,august,alameda county,18,0,10.3%,8,0,10.3%
2011,august,alameda county,87,4,10.3%,13,0,10.3%
2011,august,alameda county,261,32,10.3%,44,10,10.3%
2011,august,alameda county,117,0,10.3%,118,25,10.3%
2011,august,alameda county,149,28,10.3%,359,40,10.3%
2011,august,alameda county,14,2,10.3%,312,55,10.3%
2011,september,alameda county,151,22,10.0%,148,22,10.3%
2011,september,alameda county,115,14,10.0%,103,19,10.3%
2011,september,alameda county,173,65,10.0%,1908,663,10.3%
2011,september,alameda county,1,0,10.0%,18,0,10.3%
2011,september,alameda county,11,1,10.0%,87,4,10.3%
2011,september,alameda county,36,4,10.0%,261,32,10.3%
2011,september,alameda county,495,31,10.0%,117,0,10.3%
2011,september,alameda county,7,0,10.0%,149,28,10.3%
2011,september,alameda county,17,0,10.0%,14,2,10.3%
2011,september,alameda county,58,4,10.0%,151,22,10.0%
2011,september,alameda county,76,27,10.0%,115,14,10.0%
2011,september,alameda county,318,33,10.0%,173,65,10.0%
2011,september,alameda county,313,71,10.0%,1,0,10.0%
2011,september,alameda county,188,16,10.0%,11,1,10.0%
2011,september,alameda county,137,17,10.0%,36,4,10.0%
2011,september,alameda county,1761,595,10.0%,495,31,10.0%
2011,september,alameda county,14,1,10.0%,7,0,10.0%
2011,september,alameda county,70,9,10.0%,17,0,10.0%
2011,september,alameda county,250,37,10.0%,58,4,10.0%
2011,september,alameda county,162,6,10.0%,76,27,10.0%
2011,september,alameda county,170,27,10.0%,318,33,10.0%
2011,september,alameda county,13,5,10.0%,313,71,10.0%
2011,october,alameda county,152,7,9.7%,188,16,10.0%
2011,october,alameda county,129,17,9.7%,137,17,10.0%
2011,october,alameda county,193,53,9.7%,1761,595,10.0%
2011,october,alameda county,1,0,9.7%,14,1,10.0%
2011,october,alameda county,6,0,9.7%,70,9,10.0%
2011,october,alameda county,33,3,9.7%,250,37,10.0%
2011,october,alameda county,388,41,9.7%,162,6,10.0%
2011,october,alameda county,13,0,9.7%,170,27,10.0%
2011,october,alameda county,10,0,9.7%,13,5,10.0%
2011,october,alameda county,80,7,9.7%,152,7,9.7%
2011,october,alameda county,109,16,9.7%,129,17,9.7%
2011,october,alameda county,321,34,9.7%,193,53,9.7%
2011,october,alameda county,258,40,9.7%,1,0,9.7%
2011,october,alameda county,99,26,9.7%,6,0,9.7%
2011,october,alameda county,123,18,9.7%,33,3,9.7%
2011,october,alameda county,1676,524,9.7%,388,41,9.7%
2011,october,alameda county,21,3,9.7%,13,0,9.7%
2011,october,alameda county,98,8,9.7%,10,0,9.7%
2011,october,alameda county,259,21,9.7%,80,7,9.7%
2011,october,alameda county,107,2,9.7%,109,16,9.7%
2011,october,alameda county,152,29,9.7%,321,34,9.7%
2011,october,alameda county,13,2,9.7%,258,40,9.7%
2011,november,alameda county,140,12,9.3%,99,26,9.7%
2011,november,alameda county,105,13,9.3%,123,18,9.7%
2011,november,alameda county,182,46,9.3%,1676,524,9.7%
2011,november,alameda county,0,0,9.3%,21,3,9.7%
2011,november,alameda county,8,0,9.3%,98,8,9.7%
2011,november,alameda county,29,3,9.3%,259,21,9.7%
2011,november,alameda county,427,33,9.3%,107,2,9.7%
2011,november,alameda county,7,0,9.3%,152,29,9.7%
2011,november,alameda county,9,0,9.3%,13,2,9.7%
2011,november,alameda county,49,2,9.3%,140,12,9.3%
2011,november,alameda county,106,16,9.3%,105,13,9.3%
2011,november,alameda county,333,26,9.3%,182,46,9.3%
2011,november,alameda county,318,43,9.3%,0,0,9.3%
2011,november,alameda county,172,16,9.3%,8,0,9.3%
